index,Formal_Education,Position,Years_Coding,Salary,Age
0,3.932270916334661,3.555776892430279,3.330677290836653,25774.401394422308,19.5
1,4.3630573248407645,3.5114275009366804,3.4649681528662417,24134.476395653805,23.0
2,4.644396551724138,3.1404177718832886,4.790119363395227,39326.00969827586,27.0
3,4.789493087557604,3.0167741935483865,7.2060829493087555,56964.525345622125,32.0
4,4.84025974025974,3.07012987012987,9.398441558441556,67152.81545454546,37.0
5,4.793320964749536,3.2864564007421153,10.700556586270874,74477.24248608535,42.0
6,4.576817933296884,3.5347184253690536,11.112083105522144,77207.67878622198,47.0
7,4.76418570375829,3.4362564480471627,12.373618275607958,84853.41009579955,52.0
8,4.761904761904762,3.4669312169312168,12.845238095238097,97825.90277777777,57.0
9,4.785060975609756,3.7865853658536586,13.666158536585364,95787.62195121954,64.5
