index,Formal_Education,Position,Years_Coding,Salary,Age
0,3.8395061728395055,3.814814814814815,3.1975308641975313,22663.080246913578,19.5
1,4.38780487804878,3.407317073170732,3.4097560975609755,21676.941463414638,23.0
2,4.751054852320674,2.976793248945148,4.496835443037975,41599.44831223629,27.0
3,4.998721227621483,2.561381074168798,6.695652173913044,53419.57672634271,32.0
4,5.038696537678208,3.028513238289205,8.930753564154788,62256.12729124237,37.0
5,5.054131054131053,2.9544159544159543,9.760683760683762,64228.849002849005,42.0
6,4.4975845410628015,3.072463768115942,10.748792270531402,69869.06521739131,47.0
7,5.088235294117646,3.2279411764705883,10.970588235294118,62942.51470588236,52.0
8,4.875,2.8125,10.78125,99460.4375,57.0
9,5.186046511627907,3.4186046511627906,12.255813953488374,101720.45348837208,64.5
