,index,Formal_Education,Position,Years_Coding,Salary,Age
0,0,3.9501187648456058,3.505938242280285,3.356294536817102,26373.016627078385,19.5
1,1,4.3585657370517925,3.5303231518370963,3.474988933156264,24580.50973882249,23.0
2,2,4.624508261211644,3.1709284028324154,4.8448072383949645,38902.08762785209,27.0
3,3,4.754253715270298,3.0934740469524016,7.292052552229163,57561.58539737239,32.0
4,4,4.811253349211075,3.0762131586781782,9.466805596903841,67868.58618636499,37.0
5,5,4.754266211604096,3.3361774744027297,10.841296928327646,76011.8781996587,42.0
6,6,4.5869297163995055,3.5937114673242907,11.158446362515411,78144.23427866831,47.0
7,7,4.728091728091728,3.45945945945946,12.52989352989353,87293.9357084357,52.0
8,8,4.7514450867052025,3.527456647398844,13.036127167630058,97674.73193641617,57.0
9,9,4.756933115823816,3.812398042414356,13.765089722675366,95371.45269168026,64.5
